TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
0:0,321,310,317,30.10,29.00
0:0,321,312,317,30.10,29.00
0:0,323,311,318,29.90,29.00
0:0,325,312,318,29.90,29.00
0:0,309,312,317,29.90,29.00
0:0,277,311,319,29.90,29.00
0:0,276,311,319,30.00,29.00
0:0,283,312,319,30.00,29.00
0:0,313,309,319,30.00,29.00
0:0,326,309,318,30.00,29.00
0:0,328,312,316,29.90,29.00
0:0,305,309,318,29.90,29.00
0:0,329,312,318,29.90,29.00
0:0,324,309,318,29.90,29.00
0:0,322,311,318,29.90,29.00
0:0,323,311,318,29.90,29.00
0:0,326,312,318,29.90,29.00
0:0,326,310,318,29.90,29.00
0:0,325,311,318,30.00,29.00
0:0,325,311,318,30.00,29.00
0:0,325,312,317,30.00,29.00
0:0,325,309,317,30.00,29.00
0:0,325,310,317,30.00,30.00
0:0,325,311,317,30.00,30.00
0:0,325,311,317,30.00,30.00
0:0,325,310,319,30.00,30.00
0:0,325,309,318,30.10,30.00
0:0,325,311,319,30.10,30.00
0:0,325,311,318,30.10,30.00
0:0,325,311,320,30.10,30.00
0:0,325,310,319,29.90,30.00
0:0,325,312,317,29.90,30.00
0:0,325,310,320,29.90,30.00
0:0,324,310,319,29.90,30.00
0:0,325,308,317,30.10,31.00
0:0,325,310,319,30.10,31.00
0:0,326,312,318,30.10,31.00
0:0,326,310,317,30.10,31.00
0:0,325,308,317,30.00,31.00
0:0,325,310,318,30.00,31.00
0:0,323,310,317,30.00,31.00
0:0,324,309,317,30.00,31.00
0:0,324,309,318,30.00,31.00
0:0,324,310,318,30.00,31.00
0:0,325,307,318,30.00,31.00
0:0,323,310,317,30.00,31.00
0:0,322,309,317,30.00,32.00
0:0,323,309,318,30.00,32.00
0:0,323,310,318,30.00,32.00
0:0,323,309,318,30.00,32.00
0:0,322,309,317,30.10,32.00
0:0,323,310,317,30.10,32.00
0:0,323,309,316,30.10,32.00
0:0,323,310,318,30.10,32.00
0:0,324,310,318,30.00,32.00
0:0,323,310,317,30.00,32.00
0:0,324,311,318,30.00,32.00
0:0,323,310,318,30.00,32.00
0:0,323,310,318,30.00,32.00
0:0,324,310,318,30.00,32.00
0:0,324,310,318,30.00,32.00
0:0,324,310,318,30.00,32.00
0:0,323,309,318,30.10,32.00
0:0,324,310,319,30.10,32.00
0:0,324,309,315,30.10,32.00
0:0,324,309,318,30.10,32.00
0:0,323,311,320,30.00,32.00
0:0,324,312,321,30.00,32.00
0:0,317,312,320,30.00,32.00
0:0,318,312,320,30.00,32.00
0:0,317,311,319,30.00,32.00
0:0,314,308,319,30.00,32.00
0:0,319,309,319,30.00,32.00
0:0,318,311,320,30.00,32.00
0:0,316,311,320,30.10,32.00
0:0,324,311,321,30.10,32.00
0:0,323,311,320,30.10,32.00
0:0,326,309,320,30.10,32.00
0:0,328,310,319,30.10,31.00
0:0,332,311,321,30.10,31.00
0:0,334,312,320,30.10,31.00
0:0,332,311,321,30.10,31.00
0:0,331,311,320,30.10,30.00
0:0,335,312,320,30.10,30.00
