,TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
1343,18:57:00,0.002987274984481689,0.0,0.005407112128507807,0.2132811109132987,0.3110587443191381
659,06:38:00,0.0052568280571073855,0.0,0.022546078857007545,0.02976677941961814,0.6625147281602422
463,03:22:00,0.0002664464823208367,0.0,0.014153363602040725,0.07179888545889923,0.5311093679038851
186,22:45:00,0.004131750465549349,0.0,0.01215613529620718,0.1463592665123732,0.472647702407002
1147,15:41:00,0.7077126008690255,0.9611248966087677,0.7920235229111574,0.2663699483710161,0.044436963474162594
1224,16:58:00,0.5207169459962758,0.6858560794044664,0.5565181355330149,0.25280398789389313,0.11109240868540647
608,05:47:00,0.00036855990068280565,0.0,0.0172179026719817,0.03270429054655488,0.6493856253156032
143,22:02:00,0.004187016150756007,0.0,0.011016776866704771,0.1529689184786074,0.5182279839808428
751,09:05:00,0.6545652573740719,0.9103942652329752,0.7858730973148622,0.0784325361501792,0.6914660831509845
981,12:55:00,0.9984912752603626,1.0,0.9114930733709594,0.971071944296086,0.3676148796498904
197,22:56:00,7.612756637738191e-05,0.0,0.00818513606397092,0.13772006140389134,0.4825564592708805
883,11:17:00,0.7308736809435133,1.0,0.8588033310968148,0.17140822503115516,0.4312405318969871
279,00:18:00,0.00032976412166356304,0.0,0.010513280972490824,0.11928075485134347,0.4231610839925935
293,00:32:00,0.00019397889509621354,0.0,0.011356908868453251,0.11682392736336113,0.3933681198451438
1303,18:17:00,0.19624629284778267,0.22962962962962946,0.20147083974687852,0.22799438213360235,0.1585217602723072
400,02:19:00,0.00029096834264432026,0.0,0.012289339700832623,0.08579312800427252,0.4994108735903045
122,21:41:00,0.004112352576039728,0.0,0.00971405454473695,0.16238205447747878,0.5655613533075237
1207,16:41:00,0.5732464307883302,0.7635235732009926,0.6216994908631646,0.25590172690048074,0.1030129607810133
202,23:01:00,0.00028547837391518216,0.0,0.009317792385064472,0.13913490381288607,0.4810701457412988
835,10:29:00,0.7050744878957169,0.9766749379652608,0.8349153412006156,0.1396831048602456,0.5090052179767717
246,23:45:00,0.00374928264408606,0.0,0.013282089508891814,0.12451486558661208,0.42855373436274297
1360,19:14:00,0.00014943559325930524,0.0,0.001710278775440388,0.2089648487725748,0.29759299781181603
1346,19:00:00,0.0008535071384233394,0.0,0.0032758416544974023,0.2127470179811284,0.3110587443191381
1153,15:47:00,0.7104283054003724,0.9643507030603804,0.7948652168765047,0.2750222538721736,0.07877461706783367
384,02:03:00,0.00015518311607697082,0.0,0.012289339700832623,0.0924158803631826,0.4620434270324861
854,10:48:00,0.7171787709497207,0.9927518916766233,0.8456473405165041,0.15866516329396874,0.5027960126428397
219,23:18:00,0.006223428551350971,0.0,0.014806819171902352,0.13363273888901928,0.4959332810371164
641,06:20:00,0.0002521725636250776,0.0,0.017528712949441527,0.03200996973473347,0.6968523817539134
1,19:40:00,0.005080810170816378,0.0,0.010432700530186412,0.18962672838407224,0.4424993921711645
112,21:31:00,0.004129920475972969,0.0,0.009579174613009113,0.15978112267006173,0.5370546220222121
698,08:12:00,0.6104817573625767,0.8500199123855037,0.7376432358474432,0.035538939330999275,0.8140043763676146
1367,19:21:00,7.759155803848541e-05,0.0,0.0007005564984015611,0.20911518604237106,0.3706446726140377
951,12:25:00,0.7988438857852268,1.0,0.9330425859415086,0.2144561153640735,0.28177074566571275
1258,17:32:00,0.41631750465549344,0.5377998345740285,0.4417847416821248,0.2423357664233577,0.10705268473320984
1292,18:06:00,0.2753336436995655,0.3419354838709677,0.29019812921813964,0.2313334520206519,0.12422151153004544
441,03:00:00,0.0002474145907264912,0.0,0.013979108783410963,0.08065475090778984,0.5870938441847982
1136,15:30:00,0.6969676069613995,0.9465551573078456,0.7803146912946815,0.2612189187585303,0.048626306831996084
1256,17:30:00,0.4272967101179391,0.5542597187758476,0.4544835615897698,0.2424425850097917,0.10503282275711157
663,06:42:00,0.015440720049658596,0.007526881720430091,0.03253640920393104,0.02928609578066499,0.6685743140885371
1311,18:25:00,0.16689944134078208,0.18775847808105867,0.17093578560997752,0.2246038810753065,0.18683723278909264
1257,17:31:00,0.4187185323125734,0.542094782954998,0.4444159397981872,0.242806559452456,0.1108679795769511
1270,17:44:00,0.3699278111134102,0.4740740740740742,0.3902856165554985,0.2394121021502181,0.13420860685630914
317,00:56:00,0.00031755063567602364,0.0,0.010903027193432556,0.10851977132910028,0.4196450279601263
648,06:27:00,0.0004187016150756005,0.0,0.017159259223404392,0.031868888582839434,0.6728045910573468
709,08:23:00,0.6211592178770949,0.8662531017369728,0.75126297509571,0.04044863806302279,0.8321831341524992
972,12:46:00,0.9993131710232888,1.0,0.9745168462459376,0.7546495756928369,0.23632385120350105
627,06:06:00,0.00036160594029256406,0.0,0.017594896269978733,0.030716054027362993,0.6584368936047229
632,06:11:00,0.0004567653982642915,0.0,0.01694144070011705,0.03181648701213602,0.6827133479212251
1248,17:22:00,0.4523041818976021,0.5892473118279569,0.4793911407559433,0.24568670504223306,0.1128130318502309
1420,07:23:00,0.5021409522495806,0.6810035842293909,0.5846587993843,0.04037346942812458,0.6564551422319473
1254,17:28:00,0.4366464928615767,0.5669148056244829,0.463630264040731,0.2434039522876981,0.10402289176906247
1322,18:36:00,0.1048261949099938,0.10248138957816376,0.10513280972490824,0.2208652305501156,0.1908769567412893
795,09:49:00,0.6862973308504035,0.9543424317617866,0.8206180684374631,0.10507388285561693,0.5998990069011949
645,06:24:00,0.0002474145907264912,0.0,0.017682023679293724,0.032654912143392334,0.6950992940010732
1012,13:26:00,0.8003569211669773,1.0,0.8595137545881517,0.34392024212212924,0.02625820568927789
556,04:55:00,0.00017458100558659218,0.0,0.0178395232269013,0.03724408047000116,0.6872580373674462
681,07:55:00,0.6657355679702048,0.9371381306865176,0.8191972214547893,0.030621328111090976,0.8645009257700721
577,05:16:00,0.0003491620111731843,0.0,0.017750720290484356,0.033131564892290966,0.7190708634909948
1109,15:03:00,0.6642613283674736,0.9001654259718777,0.7412282432805777,0.2568630941783873,0.05251641137855578
1266,17:40:00,0.389548417132216,0.500744416873449,0.4123021667916486,0.2426562221826599,0.12523144251809454
